True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.902332,N/A,N/A,ALIPURDUAR GIRLS HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3471304/11,Alipurduar,Alipurduar Municipality,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,2-Girls,2-Urban,"BABUPARA, ALIPURDUAR",736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.933291,N/A,N/A,ALIPURDUAR GOBINDA HIGH SCHOOL H.S,https://kys.udiseplus.gov.in/#/schooldetail/3495303/11,Alipurduar,Alipurduar Municipality,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,3-Co-educational,2-Urban,"NETAJEE ROAD WARD NO. 16, ALIPURDUAR WB",736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.967407,N/A,N/A,ALIPURDUAR HIGH SCHOOL (HS),https://kys.udiseplus.gov.in/#/schooldetail/3471303/11,Alipurduar,Alipurduar Municipality,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,3-Co-educational,2-Urban,BABUPARA ALIPURDUAR PIN 736121,736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:45.999703,N/A,N/A,ALIPURDUAR HINDI BOARD FREE PRY,https://kys.udiseplus.gov.in/#/schooldetail/3471300/11,Alipurduar,Alipurduar Municipality,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,2-Urban,BABUPARA,736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:46.031662,N/A,N/A,ALIPURDUAR HINDI MADHYAMIK VIDYALAYA (HS),https://kys.udiseplus.gov.in/#/schooldetail/3495299/11,Alipurduar,Alipurduar Municipality,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,3-Co-educational,2-Urban,"SAMUKTALA ROAD, POST ALIPURDUAR, DIST ALIPURDUAR, PIN 736121",736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:46.067108,N/A,N/A,ALIPURDUAR JUNCTION RLY H.S. SCHOOL(GIRLS),https://kys.udiseplus.gov.in/#/schooldetail/3494876/11,Alipurduar,Alipurduar-i,2024-25,3-Pr. with Up.Pr. Sec. and H.Sec.,95-Railway Vidyalaya,1 To 12,2-Girls,1-Rural,PO ALIPURDUAR JUNCTION PIN736123,736123,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:46.098927,N/A,N/A,ALIPURDUAR NEWTOWN GIRLS HIGH,https://kys.udiseplus.gov.in/#/schooldetail/3422670/11,Alipurduar,Alipurduar Municipality,2024-25,5-Up. Pr. Secondary and Higher Sec,15-Govt. Sponsered,5 To 12,2-Girls,2-Urban,"ITKHOLA, ALIPURDUAR",736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:46.130224,N/A,N/A,ALIPURDUAR NO 2 RR PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3422678/11,Alipurduar,Alipurduar Municipality,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,2-Urban,itkhola,736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:46.161911,N/A,N/A,ALIPURDUAR NO I R/R PRY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3471301/11,Alipurduar,Alipurduar Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,2-Urban,"BABUPARA,WARD NO 18, ALIPURDUAR",736121,N/A
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:55:46.193242,N/A,N/A,ALOK DOOT SHISHU VIDYALAYA(PVT),https://kys.udiseplus.gov.in/#/schooldetail/3471296/11,Alipurduar,Alipurduar Municipality,2024-25,1-Primary,5-Private Unaided(Recognized),1 To 4,3-Co-educational,2-Urban,alipurduar,736121,N/A
