has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,last_modified
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.090152,N/A,N/A,NEW MADHUBON SSK,https://kys.udiseplus.gov.in/#/schooldetail/3423924/11,Purba Bardhaman,Kalna-i,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"new madhubon, kalna, purba abardhaman",713409,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.126797,N/A,N/A,NICHU CHAMAPAHATI SSK,https://kys.udiseplus.gov.in/#/schooldetail/3473020/11,Purba Bardhaman,Purbasthali-i,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"NICHU CHAMPAHATI,SAMUDRAGARH,PURBA BARDHAMAN",713519,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.158420,N/A,N/A,NICHUCHAMPAHATI  F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3473016/11,Purba Bardhaman,Purbasthali-i,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"NICHU CHAMPAHATI,SAMUDRAGARH,PURBA BARDHAMAN",713519,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.191041,N/A,N/A,NIGON CHATTI ADIBASI F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3424288/11,Purba Bardhaman,Mongalkote,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,PO SHIMULIA DANGA DIST PURBA BARDHAMAN,713143,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.222603,N/A,N/A,NILPUR G.S. F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3473224/11,Purba Bardhaman,Burdwan Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,2-Urban,"BARONILPUR, SRIPALLY, PURBA BARDHAMAN",713103,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.255268,N/A,N/A,NILPUR HARIPADA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448968/11,Purba Bardhaman,Burdwan Municipality,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,2-Urban,"BARANILPUR, SRIPALLY",713103,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.291195,N/A,N/A,NILPUR M.F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3424606/11,Purba Bardhaman,Burdwan Municipality,2024-25,1-Primary,3-Local body,1 To 4,3-Co-educational,2-Urban,CHOTONILPUR,713103,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.327081,N/A,N/A,NILUT DIGURA F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3448904/11,Purba Bardhaman,Raina-ii,2024-25,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"NILUT,DIGHURA,PASONDA,PURBA BARDHAMAN",713421,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.364203,N/A,N/A,NIMAR F.P. SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3497065/11,Purba Bardhaman,Purbasthali-i,2024-25,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"NIMAR, NADANGHAT, PURBA BARDHAMAN",713515,N/A
True,True,WEST BENGAL,119,PURBA BARDHAMAN,2908,2025-08-19T15:14:13.401008,N/A,N/A,NIMDAHA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3473077/11,Purba Bardhaman,Purbasthali-ii,2024-25,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"nimdaha,belerhat,purba bardhaman",713512,N/A
