has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,operational_status,school_name,know_more_link,edu_district,edu_block,academic_year,school_category,school_management,class_range,school_type,school_location,address,pin_code,email,detail_school_name,extraction_timestamp,location,class_from,class_to,year_of_establishment,national_management,state_management,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,enrollment_class_range,total_teachers,male_teachers,female_teachers,extraction_status,fields_extracted,critical_fields_extracted
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.570702,,,UTTAR BAROCHOWKIRBAS PRY,https://kys.udiseplus.gov.in/#/schooldetail/3470911/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"BOROCHOWKIRBOS,ALIPURDUAR 736206",736206,,School_ID_3470911,2025-08-26T22:48:11.207834,1-Rural,1,4,1979,1-Department of Education,1-Department of Education,NA,NA,27,12,15,N/A,2,2,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.602892,,,UTTAR BHATIBARI GIRLS HIGH SCH (H.S),https://kys.udiseplus.gov.in/#/schooldetail/3470958/11,Alipurduar,Alipurduar-ii,N/A,5-Up. Pr. Secondary and Higher Sec,1-Department of Education,5 To 12,2-Girls,1-Rural,BHATIBARI ALIPURDUAR,736121,,School_ID_3470958,2025-08-26T22:48:22.816376,1-Rural,5,12,1989,1-Department of Education,1-Department of Education,2-State Board,2-State Board,1059,0,1059,N/A,21,0,21,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.636329,,,UTTAR BHATIBARI NO -2 N P SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3494963/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"BHATIBARI,ALIPURDUAR",736121,,School_ID_3494963,2025-08-26T22:48:34.531329,1-Rural,1,4,1971,1-Department of Education,1-Department of Education,NA,NA,43,28,15,N/A,3,1,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.669259,,,UTTAR BHATIBARI SC,https://kys.udiseplus.gov.in/#/schooldetail/3446599/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"BHATIBARI,ALIPURDUAR",736121,,School_ID_3446599,2025-08-26T22:48:46.442284,1-Rural,1,4,1954,1-Department of Education,1-Department of Education,NA,NA,28,18,10,N/A,3,1,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.707291,,,UTTAR BHOLARDABRI BANKABEHARI PRY,https://kys.udiseplus.gov.in/#/schooldetail/3494879/11,Alipurduar,Alipurduar-i,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,BHOLARDABRI,736123,,School_ID_3494879,2025-08-26T22:48:58.415668,1-Rural,1,4,1981,1-Department of Education,1-Department of Education,NA,NA,22,10,12,N/A,3,2,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.751282,,,UTTAR CHAKOWAKHATI PRY,https://kys.udiseplus.gov.in/#/schooldetail/3422246/11,Alipurduar,Alipurduar-i,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,UTTAR CHAKOWAKHETI,736204,,School_ID_3422246,2025-08-26T22:49:10.437971,1-Rural,1,4,1980,1-Department of Education,1-Department of Education,NA,NA,37,21,16,N/A,5,3,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.795727,,,UTTAR CHHAKAMARY MSK,https://kys.udiseplus.gov.in/#/schooldetail/3495284/11,Alipurduar,Madarihat,N/A,4-Upper Primary only,12-SSKs & MSks,5 To 8,3-Co-educational,1-Rural,UTTAR CHHEKAMARI,735220,,School_ID_3495284,2025-08-26T22:49:22.138466,1-Rural,5,8,2005,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,0,0,0,N/A,0,0,0,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.827629,,,UTTAR CHHEKAMARI - III SSK,https://kys.udiseplus.gov.in/#/schooldetail/3471289/11,Alipurduar,Madarihat,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,UTTAR CHHEKAMARI,735220,,School_ID_3471289,2025-08-26T22:49:33.461821,1-Rural,1,4,2002,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,15,9,6,N/A,2,0,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.866518,,,UTTAR CHIKLIGURI NO 2 N/P,https://kys.udiseplus.gov.in/#/schooldetail/3446610/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"UTTAR CHHIKLIGURI,PASCHIM KHALISAMARI.",736121,,School_ID_3446610,2025-08-26T22:49:44.661104,1-Rural,1,5,1970,1-Department of Education,1-Department of Education,NA,NA,49,32,17,N/A,3,0,3,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.903152,,,UTTAR CHIKLIGURI  (PAUL PARA) S.S.K,https://kys.udiseplus.gov.in/#/schooldetail/3446609/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,1-Rural,"UTTAR CHIKLIGURI,PURBA KHALISAMARI",736121,,School_ID_3446609,2025-08-26T22:49:56.362154,1-Rural,1,4,2000,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,38,21,17,N/A,2,0,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.940079,,,UTTAR CHIKLIGURI SC PRY,https://kys.udiseplus.gov.in/#/schooldetail/3446611/11,Alipurduar,Alipurduar-ii,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,BHATIBARI.ALIPURDUAR.,736202,,School_ID_3446611,2025-08-26T22:50:07.012662,1-Rural,1,4,1954,1-Department of Education,1-Department of Education,NA,NA,28,15,13,N/A,2,1,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:46.982007,,,UTTAR CHUAKHOLA SSK,https://kys.udiseplus.gov.in/#/schooldetail/3422341/11,Alipurduar,Falakata Municipality,N/A,1-Primary,12-SSKs & MSks,1 To 4,3-Co-educational,2-Urban,"CHUAKHOLA , FALAKATA, ALIPURDUAR",735211,,School_ID_3422341,2025-08-26T22:50:18.794291,1-Rural,1,4,2001,6-Other State Govt. Managed,12-SSKs & MSks,NA,NA,28,16,12,N/A,2,0,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.017370,,,UTTAR DALGAON BASTI JR. HIGH SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3495073/11,Alipurduar,Falakata,N/A,4-Upper Primary only,1-Department of Education,5 To 8,3-Co-educational,1-Rural,"DALGAON,DHULAGAON",735216,,School_ID_3495073,2025-08-26T22:50:30.444394,1-Rural,5,8,2010,1-Department of Education,1-Department of Education,NA,NA,62,35,27,N/A,2,0,2,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.049849,,,UTTAR DALGAON BASTI PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3446713/11,Alipurduar,Falakata,N/A,1-Primary,1-Department of Education,1 To 5,3-Co-educational,1-Rural,"DALGAON, ALIPURDUAR",735216,,School_ID_3446713,2025-08-26T22:50:42.598666,1-Rural,1,5,1980,1-Department of Education,1-Department of Education,NA,NA,68,42,26,N/A,3,2,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.095469,,,UTTAR DEOGAON PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3422329/11,Alipurduar,Falakata,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,UTTAR DEOGAON,735213,,School_ID_3422329,2025-08-26T22:50:54.608280,1-Rural,1,4,1979,1-Department of Education,1-Department of Education,NA,NA,24,10,14,N/A,3,2,1,SUCCESS,9,2
True,True,WEST BENGAL,119,ALIPURDUAR,2924,2025-08-19T11:59:47.130433,,,UTTAR DEOMALI PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/3495053/11,Alipurduar,Falakata,N/A,1-Primary,1-Department of Education,1 To 4,3-Co-educational,1-Rural,"DEOMALI,KHAGENHAT",735204,,School_ID_3495053,2025-08-26T22:51:06.377938,1-Rural,1,4,1971,1-Department of Education,1-Department of Education,NA,NA,27,13,14,N/A,2,2,0,SUCCESS,9,2
